gbifID;Especie_POWO032025;Latitude;Longitude;continent;countryC
4037842776;Acianthera hygrophila;-25.69834;-50.30908;SOUTH_AMERICA;BR
4037842796;Acianthera saundersiana;-25.36500;-49.04370;SOUTH_AMERICA;BR
4037842808;Acianthera luteola;-25.36500;-49.04370;SOUTH_AMERICA;BR
4037842814;Acianthera hatschbachii;-25.44900;-49.32350;SOUTH_AMERICA;BR
4039131544;Acianthera teres;-21.70905;-43.89455;SOUTH_AMERICA;BR
4039217716;Acianthera ochreata;-12.45563;-41.47316;SOUTH_AMERICA;BR
4039229321;Acianthera klotzschiana;-25.62043;-54.47600;SOUTH_AMERICA;BR
4046627456;Acianthera sonderiana;-25.40594;-49.33361;SOUTH_AMERICA;BR
4054768322;Acianthera sonderiana;-25.43425;-49.05433;SOUTH_AMERICA;BR
4054882307;Acianthera sonderiana;-25.36361;-49.25917;SOUTH_AMERICA;BR
4055038623;Acianthera sonderiana;-25.52174;-49.09242;SOUTH_AMERICA;BR
4060874168;Acianthera lappago;;;SOUTH_AMERICA;EC
4060876116;Acianthera viridis;-2.98333;-78.36667;SOUTH_AMERICA;EC
4060880132;Acianthera sicaria;-10.28138;-75.52416;SOUTH_AMERICA;PE
4060885292;Acianthera pantasmoides;-12.98333;-71.16667;SOUTH_AMERICA;PE
4060929837;Acianthera sicariopsis;;;SOUTH_AMERICA;BO
4060983000;Acianthera ciliata;;;SOUTH_AMERICA;BO
4060987845;Acianthera aphthosa;;;SOUTH_AMERICA;BO
4060991045;Acianthera cerberus;;;SOUTH_AMERICA;BO
4061016932;Acianthera erinacea;-14.77250;-68.98750;SOUTH_AMERICA;BO
